Employee #,First Name,Last Name,Birthday,Hourly Rate,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate
10001,Manuel III,Garcia,11-Oct-83,535.71,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,44-4506057-3,442-605-657-000,691295-33-0870,Regular,Chief Executive Officer,N/A,"90,000","1,500","2,000","1,000","45,000"
10002,Antonio,Lim,19-Jun-88,357.14,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,52-2061274-9,683-102-776-000,663904-99-5411,Regular,Chief Operating Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000"
10003,Bianca Sofia,Aquino,4-Aug-89,357.14,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,30-8870406-2,971-711-280-000,171519-77-3969,Regular,Chief Finance Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000"
10004,Isabella,Reyes,16-Jun-94,357.14,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,40-2511815-0,876-809-437-000,416946-77-6041,Regular,Chief Marketing Officer,"Garcia, Manuel III","60,000","1,500","2,000","1,000","30,000"
10005,Eduard,Hernandez,23-Sep-89,313.51,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,50-5577638-1,031-702-374-000,952347-22-2457,Regular,IT Operations and Systems,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335"
10006,Andrea Mae,Villanueva,14-Feb-88,313.51,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,49-1632020-8,317-674-022-000,441093-36-9646,Regular,HR Manager,"Lim, Antonio","52,670","1,500","1,000","1,000","26,335"
10007,Brad ,San Jose,15-Mar-96,255.8,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,40-2400714-1,672-474-690-000,210850-20-9964,Regular,HR Team Leader,"Villanueva, Andrea Mae","42,975","1,500",800,800,"21,488"
10008,Alice,Romualdez,14-May-92,133.93,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,55-4476527-2,888-572-294-000,211385-55-6888,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250"
10009,Rosie ,Atienza,24-Sep-48,133.93,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,41-0644692-3,604-997-793-000,260107-73-2354,Regular,HR Rank and File,"San, Jose Brad","22,500","1,500",500,500,"11,250"
10010,Roderick,Alvaro,30-Mar-88,313.51,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,64-7605054-4,525-420-419-000,799254-09-5212,Regular,Accounting Head,"Aquino, Bianca Sofia ","52,670","1,500","1,000","1,000","26,335"
