Employee #,Date,Log In,Log Out,First Name,Last Name
10001,6/3/2024,8:59 AM,6:31 PM,Manuel III,Garcia
10002,6/3/2024,10:35 AM,7:44 PM,Antonio,Lim
10003,6/3/2024,10:23 AM,6:32 PM,Bianca Sofia,Aquino
10004,6/3/2024,10:57 AM,6:14 PM,Isabella,Reyes
10005,6/3/2024,9:48 AM,5:13 PM,Eduard,Hernandez
10006,6/3/2024,9:31 AM,7:29 PM,Andrea Mae,Villanueva
10007,6/3/2024,9:09 AM,4:30 PM,Brad,San Jose
10008,6/3/2024,9:02 AM,6:06 PM,Alice,Romualdez
10009,6/3/2024,8:18 AM,5:40 PM,Rosie,Atienza
10010,6/3/2024,8:10 AM,3:13 PM,Roderick,Alvaro
10011,6/3/2024,9:08 AM,7:36 PM,Anthony,Salcedo
10012,6/3/2024,9:47 AM,6:43 PM,Josie,Lopez
10013,6/3/2024,9:48 AM,7:21 PM,Martha,Farala
10014,6/3/2024,9:23 AM,6:09 PM,Leila,Martinez
10015,6/3/2024,8:41 AM,7:27 PM,Fredrick,Romualdez
10016,6/3/2024,8:41 AM,4:45 PM,Christian,Mata
10017,6/3/2024,9:40 AM,5:24 PM,Selena,De Leon
10018,6/3/2024,8:22 AM,4:46 PM,Allison,San Jose
10019,6/3/2024,9:53 AM,5:24 PM,Cydney,Rosario
10020,6/3/2024,8:47 AM,4:27 PM,Mark,Bautista
10021,6/3/2024,9:37 AM,6:45 PM,Darlene,Lazaro
10022,6/3/2024,10:54 AM,8:10 PM,Kolby,Delos Santos
10023,6/3/2024,10:27 AM,8:10 PM,Vella,Santos
10024,6/3/2024,9:16 AM,5:57 PM,Tomas,Del Rosario
10025,6/3/2024,10:18 AM,6:07 PM,Jacklyn,Tolentino
10026,6/3/2024,8:17 AM,6:31 PM,Percival,Gutierrez
10027,6/3/2024,9:05 AM,7:14 PM,Garfield,Manalaysay
10028,6/3/2024,8:52 AM,5:23 PM,Lizeth,Villegas
10029,6/3/2024,10:57 AM,9:44 PM,Carol,Ramos
10030,6/3/2024,9:04 AM,4:39 PM,Emelia,Maceda
10031,6/3/2024,10:07 AM,8:51 PM,Delia,Aguilar
10032,6/3/2024,8:29 AM,4:46 PM,John Rafael,Castro
10033,6/3/2024,10:02 AM,7:39 PM,Carlos Ian,Martinez
10034,6/3/2024,10:05 AM,6:12 PM,Beatriz,Santos
10001,6/4/2024,9:47 AM,7:07 PM,Manuel III,Garcia
10002,6/4/2024,10:11 AM,8:16 PM,Antonio,Lim
10003,6/4/2024,10:45 AM,8:37 PM,Bianca Sofia,Aquino
10004,6/4/2024,9:45 AM,4:54 PM,Isabella,Reyes
10005,6/4/2024,9:50 AM,8:20 PM,Eduard,Hernandez
10006,6/4/2024,10:00 AM,8:12 PM,Andrea Mae,Villanueva
10007,6/4/2024,9:16 AM,4:18 PM,Brad,San Jose
10008,6/4/2024,9:36 AM,6:56 PM,Alice,Romualdez
10009,6/4/2024,10:41 AM,7:21 PM,Rosie,Atienza
10010,6/4/2024,8:05 AM,6:36 PM,Roderick,Alvaro
10011,6/4/2024,9:58 AM,5:04 PM,Anthony,Salcedo
10012,6/4/2024,8:41 AM,4:55 PM,Josie,Lopez
10013,6/4/2024,8:13 AM,5:58 PM,Martha,Farala
10014,6/4/2024,9:11 AM,5:10 PM,Leila,Martinez
10015,6/4/2024,10:35 AM,6:43 PM,Fredrick,Romualdez
10016,6/4/2024,10:15 AM,6:12 PM,Christian,Mata
10017,6/4/2024,9:04 AM,5:32 PM,Selena,De Leon
10018,6/4/2024,10:40 AM,9:01 PM,Allison,San Jose
10019,6/4/2024,8:05 AM,6:10 PM,Cydney,Rosario
10020,6/4/2024,9:05 AM,6:27 PM,Mark,Bautista
10021,6/4/2024,8:59 AM,7:50 PM,Darlene,Lazaro
10022,6/4/2024,10:58 AM,6:51 PM,Kolby,Delos Santos
10023,6/4/2024,10:06 AM,8:32 PM,Vella,Santos
10024,6/4/2024,8:35 AM,6:14 PM,Tomas,Del Rosario
10025,6/4/2024,8:01 AM,3:39 PM,Jacklyn,Tolentino
10026,6/4/2024,8:25 AM,4:41 PM,Percival,Gutierrez
10027,6/4/2024,10:47 AM,8:39 PM,Garfield,Manalaysay
10028,6/4/2024,10:05 AM,7:33 PM,Lizeth,Villegas
10029,6/4/2024,10:38 AM,8:56 PM,Carol,Ramos
10030,6/4/2024,8:20 AM,4:30 PM,Emelia,Maceda
10031,6/4/2024,10:13 AM,5:52 PM,Delia,Aguilar
10032,6/4/2024,8:48 AM,4:36 PM,John Rafael,Castro
10033,6/4/2024,10:10 AM,6:54 PM,Carlos Ian,Martinez
10034,6/4/2024,9:35 AM,7:15 PM,Beatriz,Santos
10001,6/5/2024,10:57 AM,9:32 PM,Manuel III,Garcia
10002,6/5/2024,9:24 AM,7:19 PM,Antonio,Lim
10003,6/5/2024,9:18 AM,6:46 PM,Bianca Sofia,Aquino
10004,6/5/2024,8:44 AM,6:31 PM,Isabella,Reyes
10005,6/5/2024,9:10 AM,5:17 PM,Eduard,Hernandez
10006,6/5/2024,8:28 AM,4:52 PM,Andrea Mae,Villanueva
10007,6/5/2024,9:25 AM,5:45 PM,Brad,San Jose
10008,6/5/2024,10:44 AM,6:51 PM,Alice,Romualdez
10009,6/5/2024,10:46 AM,5:54 PM,Rosie,Atienza
10010,6/5/2024,9:48 AM,7:19 PM,Roderick,Alvaro
10011,6/5/2024,10:50 AM,8:28 PM,Anthony,Salcedo
10012,6/5/2024,8:52 AM,7:40 PM,Josie,Lopez
10013,6/5/2024,8:49 AM,4:12 PM,Martha,Farala
10014,6/5/2024,8:50 AM,6:10 PM,Leila,Martinez
10015,6/5/2024,8:06 AM,5:06 PM,Fredrick,Romualdez
10016,6/5/2024,9:29 AM,7:25 PM,Christian,Mata
10017,6/5/2024,8:08 AM,5:06 PM,Selena,De Leon
10018,6/5/2024,9:09 AM,7:20 PM,Allison,San Jose
10019,6/5/2024,9:14 AM,7:40 PM,Cydney,Rosario
10020,6/5/2024,10:42 AM,9:00 PM,Mark,Bautista
10021,6/5/2024,10:18 AM,6:05 PM,Darlene,Lazaro
10022,6/5/2024,10:55 AM,9:26 PM,Kolby,Delos Santos
10023,6/5/2024,10:01 AM,8:19 PM,Vella,Santos
10024,6/5/2024,9:19 AM,7:00 PM,Tomas,Del Rosario
10025,6/5/2024,10:50 AM,6:44 PM,Jacklyn,Tolentino
10026,6/5/2024,10:11 AM,7:17 PM,Percival,Gutierrez
10027,6/5/2024,8:57 AM,5:35 PM,Garfield,Manalaysay
10028,6/5/2024,10:14 AM,7:01 PM,Lizeth,Villegas
10029,6/5/2024,8:02 AM,3:06 PM,Carol,Ramos
10030,6/5/2024,9:24 AM,5:30 PM,Emelia,Maceda
10031,6/5/2024,9:24 AM,6:09 PM,Delia,Aguilar
10032,6/5/2024,10:33 AM,7:11 PM,John Rafael,Castro
10033,6/5/2024,9:59 AM,6:34 PM,Carlos Ian,Martinez
10034,6/5/2024,10:38 AM,6:12 PM,Beatriz,Santos
10001,6/6/2024,9:32 AM,7:15 PM,Manuel III,Garcia
10002,6/6/2024,10:47 AM,8:43 PM,Antonio,Lim
10003,6/6/2024,10:10 AM,6:01 PM,Bianca Sofia,Aquino
10004,6/6/2024,10:09 AM,6:01 PM,Isabella,Reyes
10005,6/6/2024,10:47 AM,7:28 PM,Eduard,Hernandez
10006,6/6/2024,10:11 AM,5:27 PM,Andrea Mae,Villanueva
10007,6/6/2024,9:51 AM,7:58 PM,Brad,San Jose
10008,6/6/2024,9:21 AM,4:49 PM,Alice,Romualdez
10009,6/6/2024,8:47 AM,5:44 PM,Rosie,Atienza
10010,6/6/2024,10:51 AM,7:37 PM,Roderick,Alvaro
10011,6/6/2024,10:31 AM,8:05 PM,Anthony,Salcedo
10012,6/6/2024,8:55 AM,3:56 PM,Josie,Lopez
10013,6/6/2024,10:55 AM,9:18 PM,Martha,Farala
10014,6/6/2024,9:08 AM,5:30 PM,Leila,Martinez
10015,6/6/2024,8:12 AM,6:22 PM,Fredrick,Romualdez
10016,6/6/2024,9:11 AM,6:56 PM,Christian,Mata
10017,6/6/2024,10:10 AM,7:33 PM,Selena,De Leon
10018,6/6/2024,8:25 AM,3:51 PM,Allison,San Jose
10019,6/6/2024,9:08 AM,5:46 PM,Cydney,Rosario
10020,6/6/2024,8:39 AM,5:39 PM,Mark,Bautista
10021,6/6/2024,8:03 AM,4:44 PM,Darlene,Lazaro
10022,6/6/2024,8:09 AM,6:21 PM,Kolby,Delos Santos
10023,6/6/2024,10:55 AM,7:53 PM,Vella,Santos
10024,6/6/2024,10:00 AM,7:11 PM,Tomas,Del Rosario
10025,6/6/2024,10:05 AM,5:32 PM,Jacklyn,Tolentino
10026,6/6/2024,8:13 AM,3:42 PM,Percival,Gutierrez
10027,6/6/2024,9:01 AM,6:33 PM,Garfield,Manalaysay
10028,6/6/2024,8:02 AM,5:46 PM,Lizeth,Villegas
10029,6/6/2024,8:56 AM,5:22 PM,Carol,Ramos
10030,6/6/2024,9:59 AM,8:54 PM,Emelia,Maceda
10031,6/6/2024,9:23 AM,4:24 PM,Delia,Aguilar
10032,6/6/2024,10:24 AM,8:21 PM,John Rafael,Castro
10033,6/6/2024,10:55 AM,9:16 PM,Carlos Ian,Martinez
10034,6/6/2024,9:49 AM,7:09 PM,Beatriz,Santos
10001,6/7/2024,9:46 AM,7:15 PM,Manuel III,Garcia
10002,6/7/2024,9:41 AM,8:01 PM,Antonio,Lim
10003,6/7/2024,10:22 AM,8:15 PM,Bianca Sofia,Aquino
10004,6/7/2024,9:28 AM,6:11 PM,Isabella,Reyes
10005,6/7/2024,8:14 AM,4:58 PM,Eduard,Hernandez
10006,6/7/2024,8:18 AM,6:23 PM,Andrea Mae,Villanueva
10007,6/7/2024,8:12 AM,3:12 PM,Brad,San Jose
10008,6/7/2024,8:19 AM,4:22 PM,Alice,Romualdez
10009,6/7/2024,10:09 AM,8:58 PM,Rosie,Atienza
10010,6/7/2024,9:08 AM,5:12 PM,Roderick,Alvaro
10011,6/7/2024,8:05 AM,6:24 PM,Anthony,Salcedo
10012,6/7/2024,10:26 AM,7:03 PM,Josie,Lopez
10013,6/7/2024,8:37 AM,4:15 PM,Martha,Farala
10014,6/7/2024,8:30 AM,5:31 PM,Leila,Martinez
10015,6/7/2024,9:56 AM,8:26 PM,Fredrick,Romualdez
10016,6/7/2024,9:41 AM,4:51 PM,Christian,Mata
10017,6/7/2024,9:50 AM,6:23 PM,Selena,De Leon
10018,6/7/2024,9:19 AM,5:38 PM,Allison,San Jose
10019,6/7/2024,10:04 AM,5:34 PM,Cydney,Rosario
10020,6/7/2024,8:45 AM,5:21 PM,Mark,Bautista
10021,6/7/2024,9:52 AM,7:04 PM,Darlene,Lazaro
10022,6/7/2024,9:02 AM,4:29 PM,Kolby,Delos Santos
10023,6/7/2024,10:13 AM,6:01 PM,Vella,Santos
10024,6/7/2024,9:56 AM,4:59 PM,Tomas,Del Rosario
