Username,Password,Position,First Name,Last Name,
ADMIN,SuperAccess,IT Operations and Systems,0,0,
10001,MG100011983!,Chief Executive Officer,Manuel III,Garcia,
10002,AL100021988!,Chief Operating Officer,Antonio,Lim,
10003,BA100031989!,Chief Finance Officer,Bianca Sofia,Aquino,
10004,IR100041994!,Chief Marketing Officer,Isabella,Reyes,
10005,EH100051989!,IT Operations and Systems,Eduard,Hernandez,
10006,AV100061988!,HR Manager,Andrea Mae,Villanueva,
10007,BS100071996!,HR Team Leader,Brad ,San Jose,
10008,AR100081992!,HR Rank and File,Alice,Romualdez,
10009,RA100091948!,HR Rank and File,Rosie ,Atienza,
10010,RA100101988!,Accounting Head,Roderick,Alvaro,
10011,AS100111993!,Payroll Manager,Anthony,Salcedo,
10012,JL100121987!,Payroll Team Leader,Josie ,Lopez,
10013,MF100131942!,Payroll Rank and File,Martha,Farala,
10014,LM100141970!,Payroll Rank and File,Leila,Martinez,
10015,FR100151985!,Account Manager,Fredrick ,Romualdez,
10016,CM100161987!,Account Team Leader,Christian,Mata,
10017,SD100171975!,Account Team Leader,Selena ,De Leon,
10018,AS100181986!,Account Rank and File,Allison ,San Jose,
10019,CR100191996!,Account Rank and File,Cydney ,Rosario,
10020,MB100201991!,Account Rank and File,Mark ,Bautista,
10021,DL100211985!,Account Rank and File,Darlene ,Lazaro,
10022,KD100221980!,Account Rank and File,Kolby ,Delos Santos,
10023,VS100231983!,Account Rank and File,Vella ,Santos,
10024,TD100241978!,Account Rank and File,Tomas,Del Rosario,
10025,JT100251984!,Account Rank and File,Jacklyn ,Tolentino,
10026,PG100261970!,Account Rank and File,Percival ,Gutierrez,
10027,GM100271986!,Account Rank and File,Garfield ,Manalaysay,
10028,LV100281981!,Account Rank and File,Lizeth ,Villegas,
10029,CR100291978!,Account Rank and File,Carol ,Ramos,
10030,EM100301973!,Account Rank and File,Emelia ,Maceda,
10031,DA100311989!,Account Rank and File,Delia ,Aguilar,
10032,JC100321992!,Sales & Marketing,John Rafael,Castro,
10033,CM100331990!,Supply Chain and Logistics,Carlos Ian,Martinez,
10034,BS100341990!,Customer Service and Relations,Beatriz,Santos,
