"Employee #","Date","Log In","Log Out","First Name","Last Name","DTR Approved By","DTR Approved Date","DTR Status","Payroll Approved By","Payroll Approved Date","Payroll Status"
"10004","6/3/2024","10:57 am","6:14 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/4/2024","9:45 am","4:54 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/5/2024","8:44 am","6:31 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/6/2024","10:09 am","6:01 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/7/2024","9:28 am","6:11 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/10/2024","10:10 am","6:58 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/11/2024","9:28 am","8:26 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/12/2024","9:12 am","4:56 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/13/2024","9:49 am","5:38 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/14/2024","9:32 am","8:09 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/17/2024","8:50 am","5:42 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/18/2024","10:56 am","9:09 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/19/2024","9:48 am","6:19 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/20/2024","8:09 am","4:39 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/21/2024","10:59 am","6:50 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/24/2024","8:08 am","4:56 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/25/2024","9:03 am","4:10 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/26/2024","10:25 am","8:19 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/27/2024","8:06 am","4:55 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","6/28/2024","8:36 am","5:33 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
"10004","7/1/2024","10:51 am","9:50 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/2/2024","8:01 am","5:19 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/3/2024","9:52 am","5:21 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/4/2024","9:45 am","7:40 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/5/2024","8:46 am","7:08 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/8/2024","9:26 am","5:53 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/9/2024","9:04 am","5:38 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/10/2024","8:08 am","4:22 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/11/2024","10:39 am","9:05 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/12/2024","9:15 am","8:05 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/15/2024","9:21 am","4:28 pm","Isabella","Reyes","10001","7/5/2025","Approved","10003","7/8/2025","Approved"
"10004","7/16/2024","9:46 am","5:23 pm","Isabella","Reyes","10001","7/5/2025","Approved","10011","7/6/2025","Approved"
