Employee #,Date,Log In,Log Out,First Name,Last Name,DTR Approved By,DTR Approved Date,DTR Status,Payroll Approved By,Payroll Approved Date,Payroll Status
10032,6/3/2024,8:29 am,4:46 pm,John Rafael,Castro,,,,,,
10032,6/4/2024,8:48 am,4:36 pm,John Rafael,Castro,,,,,,
10032,6/5/2024,10:33 am,7:11 pm,John Rafael,Castro,,,,,,
10032,6/6/2024,10:24 am,8:21 pm,John Rafael,Castro,,,,,,
10032,6/7/2024,8:52 am,7:40 pm,John Rafael,Castro,,,,,,
10032,6/10/2024,10:13 am,8:59 pm,John Rafael,Castro,,,,,,
10032,6/11/2024,9:11 am,5:52 pm,John Rafael,Castro,,,,,,
10032,6/12/2024,9:16 am,7:11 pm,John Rafael,Castro,,,,,,
10032,6/13/2024,9:00 am,6:18 pm,John Rafael,Castro,,,,,,
10032,6/14/2024,10:40 am,8:16 pm,John Rafael,Castro,,,,,,
10032,6/17/2024,10:52 am,6:42 pm,John Rafael,Castro,,,,,,
10032,6/18/2024,10:16 am,5:23 pm,John Rafael,Castro,,,,,,
10032,6/19/2024,9:39 am,6:08 pm,John Rafael,Castro,,,,,,
10032,6/20/2024,9:17 am,5:17 pm,John Rafael,Castro,,,,,,
10032,6/21/2024,9:48 am,8:29 pm,John Rafael,Castro,,,,,,
10032,6/24/2024,8:04 am,4:14 pm,John Rafael,Castro,,,,,,
10032,6/25/2024,8:28 am,4:24 pm,John Rafael,Castro,,,,,,
10032,6/26/2024,10:50 am,9:40 pm,John Rafael,Castro,,,,,,
10032,6/27/2024,8:09 am,3:56 pm,John Rafael,Castro,,,,,,
10032,6/28/2024,10:41 am,8:39 pm,John Rafael,Castro,,,,,,
10032,7/1/2024,10:06 am,5:54 pm,John Rafael,Castro,,,,,,
10032,7/2/2024,9:55 am,7:47 pm,John Rafael,Castro,,,,,,
10032,7/3/2024,10:35 am,6:09 pm,John Rafael,Castro,,,,,,
10032,7/4/2024,9:20 am,5:22 pm,John Rafael,Castro,,,,,,
10032,7/5/2024,9:02 am,6:57 pm,John Rafael,Castro,,,,,,
10032,7/8/2024,8:31 am,4:09 pm,John Rafael,Castro,,,,,,
10032,7/9/2024,9:38 am,6:29 pm,John Rafael,Castro,,,,,,
10032,7/10/2024,9:50 am,8:05 pm,John Rafael,Castro,,,,,,
10032,7/11/2024,9:38 am,5:33 pm,John Rafael,Castro,,,,,,
10032,7/12/2024,9:21 am,5:04 pm,John Rafael,Castro,,,,,,
10032,7/15/2024,10:41 am,8:40 pm,John Rafael,Castro,,,,,,
10032,7/16/2024,8:11 am,6:25 pm,John Rafael,Castro,,,,,,
10032,7/17/2024,8:27 am,6:47 pm,John Rafael,Castro,,,,,,
10032,7/18/2024,8:45 am,7:18 pm,John Rafael,Castro,,,,,,
10032,7/19/2024,9:25 am,7:02 pm,John Rafael,Castro,,,,,,
10032,7/22/2024,9:30 am,5:45 pm,John Rafael,Castro,,,,,,
10032,7/23/2024,10:43 am,8:24 pm,John Rafael,Castro,,,,,,
10032,7/24/2024,10:12 am,8:47 pm,John Rafael,Castro,,,,,,
10032,7/25/2024,9:01 am,4:03 pm,John Rafael,Castro,,,,,,
10032,7/26/2024,8:31 am,4:19 pm,John Rafael,Castro,,,,,,
10032,7/29/2024,9:12 am,6:13 pm,John Rafael,Castro,,,,,,
10032,7/30/2024,9:22 am,4:23 pm,John Rafael,Castro,,,,,,
10032,7/31/2024,9:43 am,8:11 pm,John Rafael,Castro,,,,,,
10032,8/1/2024,8:30 am,7:08 pm,John Rafael,Castro,,,,,,
10032,8/2/2024,9:02 am,6:51 pm,John Rafael,Castro,,,,,,
10032,8/5/2024,10:44 am,8:45 pm,John Rafael,Castro,,,,,,
10032,8/6/2024,10:49 am,9:05 pm,John Rafael,Castro,,,,,,
10032,8/7/2024,8:45 am,4:21 pm,John Rafael,Castro,,,,,,
10032,8/8/2024,10:16 am,6:47 pm,John Rafael,Castro,,,,,,
10032,8/9/2024,8:26 am,4:52 pm,John Rafael,Castro,,,,,,
10032,8/12/2024,9:05 am,4:26 pm,John Rafael,Castro,,,,,,
10032,8/13/2024,9:20 am,4:51 pm,John Rafael,Castro,,,,,,
