Employee #,Date,Log In,Log Out,First Name,Last Name,DTR Approved By,DTR Approved Date,DTR Status,Payroll Approved By,Payroll Approved Date,Payroll Status
10010,6/3/2024,8:10,15:13,Alvaro,Roderick,,,,,,
10010,6/4/2024,8:05,18:36,Alvaro,Roderick,,,,,,
10010,6/5/2024,9:48,19:19,Alvaro,Roderick,,,,,,
10010,6/6/2024,10:51,19:37,Alvaro,Roderick,,,,,,
10010,6/7/2024,9:08,17:12,Alvaro,Roderick,,,,,,
10010,6/10/2024,10:55,19:46,Alvaro,Roderick,,,,,,
10010,6/11/2024,8:23,15:46,Alvaro,Roderick,,,,,,
10010,6/12/2024,10:48,19:52,Alvaro,Roderick,,,,,,
10010,6/13/2024,10:59,21:30,Alvaro,Roderick,,,,,,
10010,6/14/2024,9:41,20:11,Alvaro,Roderick,,,,,,
10010,6/17/2024,9:15,16:52,Alvaro,Roderick,,,,,,
10010,6/18/2024,10:27,17:53,Alvaro,Roderick,,,,,,
10010,6/19/2024,10:54,20:05,Alvaro,Roderick,,,,,,
10010,6/20/2024,9:31,16:38,Alvaro,Roderick,,,,,,
10010,6/21/2024,9:17,20:03,Alvaro,Roderick,,,,,,
10010,6/24/2024,8:37,16:07,Alvaro,Roderick,,,,,,
10010,6/25/2024,8:16,15:19,Alvaro,Roderick,,,,,,
10010,6/26/2024,10:26,18:52,Alvaro,Roderick,,,,,,
10010,6/27/2024,8:01,15:32,Alvaro,Roderick,,,,,,
10010,6/28/2024,8:15,15:39,Alvaro,Roderick,,,,,,
10010,7/1/2024,10:44,20:40,Alvaro,Roderick,,,,,,
10010,7/2/2024,8:15,18:43,Alvaro,Roderick,,,,,,
10010,7/3/2024,8:18,19:07,Alvaro,Roderick,,,,,,
10010,7/4/2024,9:53,17:48,Alvaro,Roderick,,,,,,
10010,7/5/2024,10:38,17:47,Alvaro,Roderick,,,,,,
10010,7/8/2024,8:38,17:43,Alvaro,Roderick,,,,,,
10010,7/9/2024,8:49,16:48,Alvaro,Roderick,,,,,,
10010,7/10/2024,10:42,20:43,Alvaro,Roderick,,,,,,
10010,7/11/2024,10:20,21:06,Alvaro,Roderick,,,,,,
10010,7/12/2024,10:03,17:36,Alvaro,Roderick,,,,,,
10010,7/15/2024,9:07,19:45,Alvaro,Roderick,,,,,,
10010,7/16/2024,8:43,17:59,Alvaro,Roderick,,,,,,
10010,7/17/2024,10:34,21:04,Alvaro,Roderick,,,,,,
10010,7/18/2024,9:25,19:33,Alvaro,Roderick,,,,,,
10010,7/19/2024,9:58,17:10,Alvaro,Roderick,,,,,,
10010,7/22/2024,10:31,18:13,Alvaro,Roderick,,,,,,
10010,7/23/2024,8:28,16:48,Alvaro,Roderick,,,,,,
10010,7/24/2024,10:34,20:45,Alvaro,Roderick,,,,,,
10010,7/25/2024,9:15,19:22,Alvaro,Roderick,,,,,,
10010,7/26/2024,8:32,15:54,Alvaro,Roderick,,,,,,
10010,7/29/2024,8:08,15:10,Alvaro,Roderick,,,,,,
10010,7/30/2024,10:48,20:56,Alvaro,Roderick,,,,,,
10010,7/31/2024,9:57,19:23,Alvaro,Roderick,,,,,,
10010,8/1/2024,8:12,15:52,Alvaro,Roderick,,,,,,
10010,8/2/2024,9:20,19:36,Alvaro,Roderick,,,,,,
10010,8/5/2024,9:26,16:28,Alvaro,Roderick,,,,,,
10010,8/6/2024,8:08,16:44,Alvaro,Roderick,,,,,,
10010,8/7/2024,8:06,18:57,Alvaro,Roderick,,,,,,
10010,8/8/2024,8:35,17:16,Alvaro,Roderick,,,,,,
10010,8/9/2024,10:31,17:40,Alvaro,Roderick,,,,,,
10010,8/12/2024,10:22,20:51,Alvaro,Roderick,,,,,,
10010,8/13/2024,10:50,20:39,Alvaro,Roderick,,,,,,
10010,8/14/2024,9:05,18:12,Alvaro,Roderick,,,,,,
10010,8/15/2024,10:53,19:34,Alvaro,Roderick,,,,,,
10010,8/16/2024,8:01,17:45,Alvaro,Roderick,,,,,,
10010,8/19/2024,10:51,21:43,Alvaro,Roderick,,,,,,
10010,8/20/2024,9:11,16:19,Alvaro,Roderick,,,,,,
10010,8/21/2024,9:14,17:46,Alvaro,Roderick,,,,,,
10010,8/22/2024,9:37,19:05,Alvaro,Roderick,,,,,,
10010,8/23/2024,8:44,18:15,Alvaro,Roderick,,,,,,
10010,8/26/2024,9:08,17:48,Alvaro,Roderick,,,,,,
10010,8/27/2024,8:51,17:56,Alvaro,Roderick,,,,,,
10010,8/28/2024,8:24,18:45,Alvaro,Roderick,,,,,,
10010,8/29/2024,8:14,16:07,Alvaro,Roderick,,,,,,
10010,8/30/2024,9:38,17:20,Alvaro,Roderick,,,,,,
10010,9/2/2024,8:22,17:09,Alvaro,Roderick,,,,,,
10010,9/3/2024,8:30,15:47,Alvaro,Roderick,,,,,,
10010,9/4/2024,10:02,19:11,Alvaro,Roderick,,,,,,
10010,9/5/2024,8:37,19:15,Alvaro,Roderick,,,,,,
