"Employee #","Date","Log In","Log Out","First Name","Last Name","DTR Approved By","DTR Approved Date","DTR Status","Payroll Approved By","Payroll Approved Date","Payroll Status"
"10012","6/3/2024","9:47 am","6:43 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/4/2024","8:41 am","4:55 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/5/2024","8:52 am","7:40 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/6/2024","8:55 am","3:56 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/7/2024","10:26 am","7:03 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/10/2024","8:58 am","5:00 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/11/2024","10:11 am","6:50 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/12/2024","10:45 am","7:08 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/13/2024","9:10 am","5:36 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/14/2024","8:39 am","4:13 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/17/2024","10:55 am","8:19 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/18/2024","10:05 am","7:29 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/19/2024","8:25 am","4:47 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/20/2024","9:18 am","6:00 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/21/2024","9:32 am","6:42 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/24/2024","10:18 am","7:52 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/25/2024","9:10 am","5:36 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/26/2024","9:52 am","7:55 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/27/2024","10:54 am","6:44 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","6/28/2024","8:52 am","5:58 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/1/2024","10:02 am","9:00 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/2/2024","10:50 am","9:28 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/3/2024","8:14 am","5:51 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/4/2024","10:29 am","5:33 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/5/2024","10:09 am","7:52 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/8/2024","10:20 am","7:02 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/9/2024","10:48 am","7:19 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/10/2024","8:14 am","4:57 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/11/2024","8:25 am","4:11 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/12/2024","9:23 am","6:54 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/15/2024","8:18 am","4:31 pm","Josie","Lopez","10011","7/5/2025","Approved","10003","7/8/2025","Approved"
"10012","7/16/2024","10:10 am","6:40 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/17/2024","10:31 am","8:37 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/18/2024","9:12 am","4:27 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/19/2024","9:59 am","6:15 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/22/2024","10:45 am","9:44 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/23/2024","8:18 am","4:09 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/24/2024","9:39 am","6:37 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/25/2024","9:37 am","7:55 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/26/2024","10:34 am","6:03 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/29/2024","9:41 am","5:04 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/30/2024","8:27 am","5:34 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","7/31/2024","9:42 am","5:03 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/1/2024","8:09 am","4:15 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/2/2024","10:11 am","5:30 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/5/2024","10:55 am","8:07 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/6/2024","10:02 am","8:05 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/7/2024","9:46 am","7:26 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/8/2024","10:19 am","6:26 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/9/2024","9:40 am","6:38 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/12/2024","9:49 am","8:44 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/13/2024","8:12 am","4:55 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/14/2024","9:06 am","6:50 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/15/2024","9:05 am","6:42 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/16/2024","8:23 am","6:49 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/19/2024","8:49 am","5:31 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/20/2024","10:48 am","7:45 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/21/2024","9:53 am","6:52 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/22/2024","8:18 am","5:37 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/23/2024","10:53 am","7:01 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/26/2024","10:46 am","8:42 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/27/2024","9:52 am","4:57 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/28/2024","8:55 am","5:28 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/29/2024","9:32 am","6:44 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","8/30/2024","8:06 am","5:11 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
"10012","9/2/2024","10:18 am","8:43 pm","Josie","Lopez","10011","7/5/2025","Approved","10011","7/6/2025","Approved"
