"EmpID","First Name","Last Name","DTR Status","DTR Approved Date","Payroll Status","Payroll Approved Date"
"10000","Super","Admin","Approved","6/15/2025","Approved","6/15/2025"
"10001","Manuel III","Garcia","Pending","","",""
"10002","Antonio","Lim","Approved","6/15/2025","Approved","6/15/2025"
"10003","Bianca Sofia","Aquino","Approved","6/16/2025","Approved","6/15/2025"
"10004","Isabella","Reyes","Approved","6/17/2025","Approved","6/15/2025"
"10005","Eduard","Hernandez","Approved","6/18/2025","Approved","6/15/2025"
"10006","Andrea Mae","Villanueva","Approved","6/19/2025","Approved","6/15/2025"
"10007","Brad ","San Jose","Approved","6/20/2025","Approved","6/15/2025"
"10008","Alice","Romualdez","Approved","6/21/2025","Approved","6/15/2025"
"10009","Rosie ","Atienza","Approved","6/22/2025","Approved","6/15/2025"
"10010","Roderick","Alvaro","Approved","6/23/2025","Approved","6/15/2025"
"10011","Anthony","Salcedo","Approved","6/24/2025","Approved","6/15/2025"
"10012","Josie ","Lopez","Missing","","",""
"10013","Martha","Farala","Approved","6/21/2025","Approved","6/15/2025"
"10014","Leila","Martinez","Approved","6/22/2025","Approved","6/15/2025"
"10015","Fredrick ","Romualdez","Approved","6/23/2025","Approved","6/15/2025"
"10016","Christian","Mata","Approved","6/24/2025","Approved","6/15/2025"
"10017","Selena ","De Leon","Incomplete","","",""
"10018","Allison ","San Jose","Pending","","",""
"10019","Cydney ","Rosario","Missing","","",""
"10020","Mark ","Bautista","Incomplete","","",""
"10021","Darlene ","Lazaro","Approved","6/21/2025","Approved","6/15/2025"
"10022","Kolby ","Delos Santos","Approved","6/22/2025","Approved","6/15/2025"
"10023","Vella ","Santos","Approved","6/23/2025","Approved","6/15/2025"
"10024","Tomas","Del Rosario","Approved","6/24/2025","Approved","6/15/2025"
"10025","Jacklyn ","Tolentino","Pending","","",""
"10026","Percival ","Gutierrez","Approved","6/21/2025","Approved","6/15/2025"
"10027","Garfield ","Manalaysay","Approved","6/22/2025","Approved","6/15/2025"
"10028","Lizeth ","Villegas","Approved","6/23/2025","Approved","6/15/2025"
"10029","Carol ","Ramos","Approved","6/24/2025","Approved","6/15/2025"
"10030","Emelia ","Maceda","Pending","","",""
"10031","Delia ","Aguilar","Incomplete","","",""
"10032","John Rafael","Castro","Pending","","",""
"10033","Carlos Ian","Martinez","Approved","6/23/2025","Approved","6/15/2025"
"10034","Beatriz","Santos","Approved","6/24/2025","Approved","6/15/2025"
