Employee #,First Name,Last Name,Birthday,Hourly Rate,Rice Subsidy,Phone Allowance,Clothing Allowance,Status,Position,Basic Salary,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Immediate Supervisor,Gross Semi-monthly Rate,Address
10001,Manuel III,Garcia,11-Oct-83,535.71,1500,2000,1000,Regular,Chief_Executive_Officer,"90,000",966-860-270,44-4506057-3,8.20127E+11,442-605-657-000,691295-33-0870,N/A,"45,000","Valero Carpark Building Valero Street 1227, Makati City"
10002,Antonio,Lim,19-Jun-88,357.14,1500,2000,1000,Regular,Chief_Operating_Officer,"60,000",171-867-411,52-2061274-9,3.31736E+11,683-102-776-000,663904-99-5411,"Garcia, Manuel III","30,000","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite"
10003,Bianca Sofia,Aquino,4-Aug-89,357.14,1500,2000,1000,Regular,Chief_Finance_Officer,"60,000",966-889-370,30-8870406-2,1.77451E+11,971-711-280-000,171519-77-3969,"Garcia, Manuel III","30,000","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City"
10004,Isabella,Reyes,16-Jun-94,357.14,1500,2000,1000,Regular,Chief_Marketing_Officer,"60,000",786-868-477,40-2511815-0,3.41911E+11,876-809-437-000,416946-77-6041,"Garcia, Manuel III","30,000","460 Solanda Street Intramuros 1000, Manila"
10005,Eduard,Hernandez,23-Sep-89,313.51,1500,1000,1000,Regular,IT_Operations_and_Systems,"52,670",088-861-012,50-5577638-1,9.57436E+11,031-702-374-000,952347-22-2457,"Lim, Antonio","26,335","National Highway, Gingoog,  Misamis Occidental"
10006,Andrea Mae,Villanueva,14-Feb-88,313.51,1500,1000,1000,Regular,HR_Manager,"52,670",918-621-603,49-1632020-8,3.82189E+11,317-674-022-000,441093-36-9646,"Lim, Antonio","26,335","17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands "
10007,Brad ,San Jose,15-Mar-96,255.8,1500,800,800,Regular,HR_Team_Leader,"42,975",797-009-261,40-2400714-1,2.39193E+11,672-474-690-000,210850-20-9964,"Villanueva, Andrea Mae","21,488","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi"
10008,Alice,Romualdez,14-May-92,133.93,1500,500,500,Regular,HR_Rank_and_File,"22,500",983-606-799,55-4476527-2,5.45653E+11,888-572-294-000,211385-55-6888,"San, Jose Brad","11,250","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte "
10009,Rosie ,Atienza,24-Sep-48,133.93,1500,500,500,Regular,HR_Rank_and_File,"22,500",266-036-427,41-0644692-3,7.08988E+11,604-997-793-000,260107-73-2354,"San, Jose Brad","11,250","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte"
10010,Roderick,Alvaro,30-Mar-88,313.51,1500,1000,1000,Regular,Accounting_Head,"52,670",053-381-386,64-7605054-4,5.78115E+11,525-420-419-000,799254-09-5212,"Aquino, Bianca Sofia ","26,335","#284 T. Morato corner, Scout Rallos Street, Quezon City"
10011,Anthony,Salcedo,14-Sep-93,302.53,1500,1000,1000,Regular,Payroll_Manager,"50,825",070-766-300,26-9647608-3,1.26445E+11,210-805-911-000,218002-47-3454,"Alvaro, Roderick","25,413","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate"
10012,Josie ,Lopez,14-Jan-87,229.02,1500,800,800,Regular,Payroll_Team_Leader,"38,475",478-355-427,44-8563448-3,4.31709E+11,218-489-737-000,113071-29-3354,"Salcedo, Anthony","19,238","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro"
10013,Martha,Farala,11-Jan-42,142.86,1500,500,500,Regular,Payroll_Rank_and_File,"24,000",329-034-366,45-5656375-0,2.33694E+11,210-835-851-000,631130-28-3546,"Salcedo, Anthony","12,000","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte "
10014,Leila,Martinez,11-Jul-70,142.86,1500,500,500,Regular,Payroll_Rank_and_File,"24,000",877-110-749,27-2090996-4,5.15741E+11,275-792-513-000,101205-44-5886,"Salcedo, Anthony","12,000","37/46 Kulas Roads, Maragondon 0962 Quirino "
10015,Fredrick ,Romualdez,10-Mar-85,318.45,1500,1000,1000,Regular,Account_Manager,"53,500",023-079-009,26-8768374-1,3.08367E+11,598-065-761-000,223057-70-7853,"Lim, Antonio","26,750","22A/52 Lubowitz Meadows, Pililla 4895 Zambales"
